Tree Depth,Mean Reward
1,-467.5695097481263
2,-451.92708482095645
3,-9.151071002119231
4,65.48061842538606
5,143.68517241088475
6,-151.71742366915973
7,110.13967852138394
8,-32.43429979925334
9,147.9059163900448
10,203.4400918405324
11,175.80600980343985
12,208.30621754604573
13,211.8526273814503
14,198.13046531205694
15,222.57003581581995
16,229.02250627154973
17,216.37567205010362
18,219.39620901264675
19,219.22266278635823
20,207.4649202543285
21,232.59946850588378
22,232.03310665832927
23,227.58956217324365
24,224.7203219438812
25,222.88348340645604
26,225.36025974868292
27,228.32327427016307
28,232.2411801587589
29,227.00329092349887
30,227.21456086126057
