PC1,PC2,action
-0.4161724,0.43734646,3
-0.4200527,0.43821147,3
-0.4239716,0.4388773,3
-0.42773202,0.4393231,3
-0.4313673,0.43958527,3
-0.4348785,0.43960196,3
-0.4382156,0.43942317,3
-0.4414235,0.43902367,3
-0.44442034,0.4382037,3
-0.447401,0.43710008,0
-0.45016366,0.43628794,0
-0.4527873,0.43511918,0
-0.45527187,0.4335943,0
-0.4576174,0.4317129,0
-0.45982373,0.4294752,0
-0.4618912,0.42688096,0
-0.4638195,0.42393032,0
-0.46560872,0.4206232,0
-0.46725896,0.4169597,1
-0.4686855,0.41329622,0
-0.47005823,0.40883604,0
-0.47129154,0.40401918,2
-0.46894562,0.39878067,2
-0.46410623,0.39331853,1
-0.4650523,0.3887399,2
-0.4595242,0.38334358,2
-0.45657772,0.3778459,2
-0.45148325,0.3722631,2
-0.4463943,0.36738455,1
-0.4476407,0.36311337,2
-0.44016957,0.35763046,1
-0.4413913,0.35343382,2
-0.43492845,0.34794497,2
-0.42906317,0.34288368,1
-0.43041858,0.33892712,2
-0.42431536,0.33369425,2
-0.41739115,0.3286854,1
-0.41901633,0.3249753,2
-0.41246724,0.3200801,2
-0.40816745,0.31547332,1
-0.40988398,0.3119278,2
-0.4080677,0.3071225,2
-0.40411758,0.30264482,2
-0.40232757,0.29784545,2
-0.39784014,0.2930556,2
-0.39102438,0.2883174,1
-0.39293116,0.2850078,2
-0.38922969,0.28074116,1
-0.39094475,0.2773447,2
-0.38595912,0.2721987,2
-0.37996462,0.26730442,2
-0.37787175,0.2630545,2
-0.3714154,0.2584032,1
-0.37359923,0.25543633,2
-0.3680707,0.25151026,0
-0.37052232,0.24808094,2
-0.36585963,0.24400929,0
-0.36829886,0.24052943,2
-0.36719516,0.23690183,2
-0.36235547,0.23265027,0
-0.36478183,0.22913338,2
-0.3609835,0.2254309,0
-0.36337066,0.22186276,0
-0.36561853,0.21793756,2
-0.36149547,0.21342668,0
-0.36370194,0.20937008,2
-0.36181492,0.20451298,2
-0.35556188,0.19980492,0
-0.35781354,0.19576386,2
-0.3552135,0.19157192,0
-0.3573726,0.18733546,2
-0.35145167,0.18222617,0
-0.35362974,0.17795059,0
-0.35566843,0.17331794,2
-0.34971645,0.16841361,0
-0.35178134,0.16386071,2
-0.34471166,0.15855569,0
-0.34683803,0.15408154,0
-0.34882486,0.14925024,2
-0.3420093,0.14371046,0
-0.3440454,0.13892634,0
-0.34594214,0.13378537,2
-0.34446588,0.12848027,3
-0.34619612,0.12261147,2
-0.341698,0.116630755,2
-0.33645377,0.1111805,3
-0.33834797,0.10540702,0
-0.340038,0.09991682,0
-0.34158856,0.094069466,2
-0.3340258,0.08806096,0
-0.33564585,0.08238678,2
-0.33149427,0.07615752,0
-0.33304825,0.07025152,2
-0.32585093,0.06387883,3
-0.3274504,0.05752095,0
-0.32891628,0.051448904,0
-0.3302426,0.045019556,2
-0.32451713,0.03879202,0
-0.32583952,0.032412343,2
-0.32343897,0.025493704,2
-0.3208227,0.018611336,2
-0.3185587,0.011877971,2
-0.31338328,0.0055758148,3
-0.31459725,-0.0012583687,2
-0.31146505,-0.007978741,2
-0.3082857,-0.014684322,0
-0.30949387,-0.021363102,2
-0.30395916,-0.027903536,0
-0.30515003,-0.034584343,2
-0.30181953,-0.041411392,2
-0.2988566,-0.04799408,2
-0.29629928,-0.054713994,2
-0.2902252,-0.06083796,0
-0.29148212,-0.06723244,2
-0.2847412,-0.07373943,0
-0.28602436,-0.08008161,2
-0.28316393,-0.086261734,3
-0.2842305,-0.09321852,2
-0.28198868,-0.09969731,2
-0.27978182,-0.10656295,2
-0.2773262,-0.11361919,2
-0.27100593,-0.12035903,0
-0.27214798,-0.12697108,2
-0.26383856,-0.13348177,0
-0.26506633,-0.13986045,2
-0.26061168,-0.14640877,2
-0.25367862,-0.15291914,0
-0.2550143,-0.1590804,2
-0.25291422,-0.16556711,2
-0.2468457,-0.17148528,0
-0.24817891,-0.17760773,2
-0.24521615,-0.18355636,0
-0.24643882,-0.18989718,2
-0.24396412,-0.19621715,2
-0.23627801,-0.20234439,0
-0.23757038,-0.20843458,2
-0.23140717,-0.21486782,0
-0.23270108,-0.221003,2
-0.22998828,-0.22747616,2
-0.22716655,-0.23381583,2
-0.22430371,-0.24003781,2
-0.21665484,-0.24641828,0
-0.21805334,-0.2523552,2
-0.210881,-0.25855595,0
-0.21232523,-0.26441693,2
-0.20957111,-0.2703438,2
-0.20260525,-0.27640346,0
-0.2041109,-0.2821261,2
-0.20199718,-0.28835577,2
-0.19647752,-0.29447037,2
-0.19077395,-0.29968613,2
-0.18405098,-0.3046851,0
-0.18586864,-0.30961624,2
-0.18402223,-0.31509197,2
-0.18047488,-0.3200847,2
-0.17843066,-0.32487756,2
-0.17171243,-0.32951775,0
-0.17365453,-0.33410165,2
-0.16973327,-0.3391027,2
-0.16377462,-0.34357852,2
-0.15983017,-0.34776,0
-0.16197112,-0.35190207,2
-0.1605328,-0.35662648,2
-0.15728186,-0.36066067,2
-0.15004666,-0.36470053,2
-0.14551175,-0.36797047,0
-0.14792523,-0.37139776,2
-0.14611721,-0.3749829,2
-0.14436981,-0.37839246,2
-0.13814633,-0.38186222,0
-0.14065172,-0.38506532,2
-0.13409403,-0.38846454,2
-0.12988059,-0.3912467,0
-0.13257672,-0.3940124,2
-0.1265948,-0.3965084,0
-0.1293494,-0.39908746,2
-0.12743886,-0.40150416,2
-0.122892104,-0.40376148,0
-0.12569459,-0.40613866,2
-0.12388663,-0.40833586,2
-0.12248469,-0.41056752,2
-0.12171533,-0.4125543,2
