Tree Depth,Mean Reward
1,-436.68885504546574
2,-647.0922664546055
3,-19.44924757000341
4,-29.877693375966484
5,-14.661018241251405
6,-72.27893051025856
7,-134.29947968373443
8,10.236682002022844
9,103.85266545125661
10,120.66431698008839
11,173.486885159856
12,180.83149090723907
13,186.76054341714217
14,187.95358071915106
15,214.86103053602727
16,235.23088382097566
17,201.14308387570705
18,218.88865198408982
19,213.64694688405723
20,201.13673499403924
21,210.1895723316573
22,201.38481376510373
23,209.59216452834397
24,196.7175209087033
25,200.19578525779903
26,213.0834875499146
27,215.08878148687253
28,210.18737831871462
29,200.71315369845613
30,209.50454411585554
