depths,mean_rewards,std_rewards
1,-317.6797470205065,78.89598065786565
2,-317.6797470205065,78.89598065786565
3,-350.4966819708828,102.04895087434691
4,-658.6529508159475,67.5465146945903
5,-211.22036904173075,156.86644361317582
6,-172.26355130534046,100.76118280677858
7,-164.3643732337559,130.47557791892427
8,-94.34047637750741,192.9612741356203
9,-134.1759818149398,159.5268289313471
10,-29.4596306435987,199.9361362391538
11,-21.167099476374666,202.72692525168478
12,-32.515184788033714,219.26744377948307
13,30.424383430538082,224.15894416260676
14,-52.16388321831571,263.88492099995375
15,0.08154189453428062,237.94267294686188
