#{"t_start": 1736507118.482838, "env_id": "LunarLander-v3"}
r,l,t
-98.688485,110,2.499942
-109.492566,96,2.58694
-106.463937,120,2.685939
-115.48448,84,2.755514
-239.653213,105,2.84451
-34.253123,104,2.934512
-204.377735,72,2.998516
-0.06994,75,3.065513
-108.095041,100,3.150511
-292.706268,121,3.251265
-55.901856,59,3.302264
-252.576715,121,3.406262
-64.313676,105,3.494345
-399.556558,106,3.624424
-168.750674,115,3.7385
-71.188842,71,3.797592
-128.863926,80,3.869884
-281.574497,73,3.930881
-132.639836,92,4.007127
-77.112472,116,4.108119
-328.061852,109,4.200186
-507.102044,140,5.639819
-165.13281,79,5.705821
-130.766114,68,5.773822
-24.452856,121,5.881631
-210.364355,76,5.947634
-102.653653,83,6.01983
-18.340568,109,6.112678
-321.19483,91,6.194679
-524.756808,124,6.32088
-60.44418,62,6.375617
-309.37182,128,6.483623
-198.915558,91,6.558001
-121.670186,87,6.630002
-345.025832,108,6.721288
-298.766272,114,6.818361
-116.778561,118,6.924033
-234.466822,118,7.029029
-57.23843,91,7.106029
-98.268196,55,7.155544
-160.326555,95,7.234547
-167.317474,67,7.293544
-130.210999,61,8.558899
-324.071705,96,8.640465
-315.263096,87,8.716235
-148.798157,117,8.821882
-169.730284,89,8.904882
-107.655442,73,8.973888
-113.029681,77,9.04688
-143.554423,115,9.144881
-133.676761,71,9.203885
-202.451687,108,9.300952
-148.786797,103,9.392049
-102.372043,134,9.508496
-135.288627,84,9.577492
-135.366782,94,9.665525
-101.836867,75,9.735596
-48.304326,70,9.793193
-95.455763,77,9.856271
-129.218201,96,9.946209
-115.579382,79,10.013206
-167.910394,72,10.07321
22.330265,117,10.171522
-84.987176,62,10.223517
-137.983477,67,10.279519
-139.063931,97,11.920503
-150.6776,65,11.975504
-188.858179,72,12.038504
-136.804499,116,12.140985
-150.163004,67,12.196988
-93.012653,71,12.254985
-228.993727,73,12.31599
-191.218536,79,12.387054
-137.843998,85,12.457061
-298.855334,108,12.547707
-260.290082,100,12.631821
-155.667498,132,12.74382
-460.320812,168,12.892723
-106.896743,89,12.966839
-173.782599,88,13.047843
-220.033296,156,13.18572
-285.908736,72,13.249147
-178.289024,75,13.322217
-350.323541,96,13.411414
-125.442285,105,13.498811
-93.146451,69,13.554808
-346.558535,102,13.644215
-226.421083,121,15.001023
-109.603477,93,15.079018
-8.659128,79,15.14702
-104.012922,118,15.250016
-207.968859,115,15.350963
-251.888955,122,15.454024
