#{"t_start": 1736440276.686912, "env_id": "LunarLander-v3"}
r,l,t
-139.153423,99,1.61783
-114.230803,64,1.761558
-112.124447,98,1.982132
-460.348319,97,2.203759
-90.859418,63,2.345313
-165.461245,81,2.534079
-123.584167,104,2.843319
-124.885052,62,2.990623
-101.031858,65,3.157682
-244.043978,84,3.368345
-58.957208,120,3.669247
-189.221184,104,3.921301
-286.133247,85,4.127528
-74.246351,100,4.359551
-95.176854,76,4.528406
-207.73441,85,4.714668
-401.146135,111,4.956892
-207.980405,125,5.238242
-335.561602,122,5.511299
-121.638931,82,5.701432
-510.339854,113,5.969648
-258.116232,128,6.269434
-96.790877,80,6.451701
-139.648114,84,6.64189
-123.583039,83,6.828939
-246.287328,100,7.057773
-273.066376,115,7.316558
-90.330958,76,7.487068
-59.665159,78,7.659937
-168.422631,124,7.931156
-185.871061,104,8.174466
-81.602651,70,8.332214
-172.849209,94,8.535995
-138.324081,100,8.761773
-194.12613,149,9.099983
-218.335393,138,9.410729
-103.615048,62,9.552666
-43.623193,69,9.707569
-128.981254,101,9.923417
-134.067958,81,10.098109
-41.423888,107,10.340804
-193.925122,72,10.500072
-91.507929,91,10.708942
-56.538659,113,10.970308
-43.895645,66,11.114567
-231.960558,98,11.356155
-428.567961,82,11.543041
-166.554146,88,11.73945
-70.316647,144,12.077823
-90.779708,135,12.390192
-191.770161,78,12.56823
-71.958104,96,12.785476
-327.525557,115,13.036529
-121.950297,75,13.199312
-108.13999,83,13.391832
-126.017024,89,13.59342
-60.293005,113,13.845441
-316.404068,111,14.102936
-207.225308,104,14.341935
-129.557523,111,14.618256
-155.544142,82,14.819672
-122.928157,82,15.044908
-96.394412,101,15.337908
-246.823267,83,15.557749
-234.808169,139,15.961271
-185.971211,113,16.29764
-41.620067,104,16.623646
-176.918808,111,16.940484
-215.660999,151,17.333482
-156.214678,89,17.572484
-288.503297,97,17.818185
-68.491805,92,18.065933
-58.146131,90,18.266464
-214.154536,127,18.58326
-126.721052,114,18.836166
-103.108904,91,19.035141
-336.91737,119,19.299733
-119.325844,101,19.525327
-342.032135,155,19.868052
-69.601692,108,20.110473
-188.021291,142,20.430798
-96.5028,110,20.681687
-232.725068,127,20.991233
-78.115546,82,21.174639
-51.102872,145,21.522818
-117.584378,123,21.817174
-56.212075,128,22.106741
-92.715357,119,22.375436
-70.55712,71,22.536251
-77.536716,148,22.864778
-97.404384,129,23.153025
-170.944175,139,23.467919
-76.955877,122,23.751489
-72.69645,135,24.063263
-113.287931,92,24.273607
-78.810763,104,24.510628
-236.499176,130,24.803522
-616.430835,74,24.961942
-1244.779508,191,25.049024
-605.275015,80,25.080942
-527.917124,100,25.121948
-347.399012,88,25.157943
-137.967027,230,25.720577
-137.24954,122,25.996739
-102.392736,77,26.170124
-66.120698,87,26.412851
-70.374521,77,26.597044
-49.82995,122,26.892275
-154.266241,124,27.197393
-39.503256,122,27.489182
-57.39214,173,27.890028
-94.495046,67,28.047678
-93.348559,121,28.318858
-136.41304,104,28.575492
-101.934621,75,28.764726
-298.654312,197,29.32805
-39.538025,178,29.760668
123.641016,1000,32.925222
-95.937991,106,33.214298
-21.333978,90,33.461352
-43.598026,68,33.63172
-60.190098,191,34.117521
-48.631313,148,34.484933
-126.574245,118,34.780767
-90.660326,102,35.065253
-115.724549,115,35.362297
-285.039999,122,35.651084
-380.101159,126,35.942364
-31.489028,108,36.19205
-95.429572,96,36.417208
-238.394939,155,36.816414
-126.585216,77,36.992778
-107.621005,99,37.227803
-117.949797,97,37.488536
-24.196515,218,38.003602
-110.195681,149,38.345484
-208.912225,127,38.651262
-306.803154,134,39.021413
8.605306,87,39.237096
-105.908851,127,39.565237
22.911097,140,39.93304
-123.662771,68,40.089539
-76.676507,236,40.701136
-162.790347,136,41.026852
-54.182961,121,41.34912
-165.07858,137,41.679386
-115.026755,125,41.98661
-209.968835,290,42.700001
-104.671278,209,43.196216
-85.242669,198,43.674951
-96.302065,63,43.830816
-43.06029,152,44.199566
-6.241958,134,44.516322
-142.397732,291,45.282371
-5.988787,114,45.570921
50.012947,1000,48.686635
-77.853989,111,48.956341
-1371.798731,316,52.217261
-1007.103494,326,52.413267
-1350.100752,339,52.657255
-791.410084,343,52.917253
-908.437196,326,53.114252
-208.458721,778,55.189404
-131.280724,1000,58.12272
-138.006015,1000,61.426292
-136.9511,1000,64.229528
-197.713277,717,66.341015
-132.03397,981,69.476844
-73.063069,147,69.827859
166.703464,886,72.703035
-97.941189,1000,75.585185
-55.67628,1000,79.344638
-188.51722,286,80.185562
170.437792,537,82.03885
45.359413,191,82.660511
-110.12893,53,82.813158
-98.47639,61,82.984989
-122.464771,84,83.241987
-92.755594,57,83.412864
-26.990761,141,83.857871
-37.610161,87,84.178969
-31.500863,134,84.242865
-19.73011,92,84.282887
27.75258,131,84.355892
-39.079227,86,84.401886
-4.149441,141,84.794608
184.031349,368,85.746328
-25.743179,161,86.180473
-119.439877,375,87.126959
-25.12201,180,87.620308
194.576153,260,88.298646
-86.040009,323,89.340535
-35.659035,422,90.598577
128.779882,740,92.887384
130.739749,419,94.008825
-202.522828,316,94.839441
220.039131,324,95.788023
