PC1,PC2,action
-0.4348379,0.384776,1
-0.4382528,0.39029557,1
-0.4417165,0.39535737,1
-0.44513488,0.3998741,1
-0.4484126,0.40362066,1
-0.45162386,0.4068094,1
-0.45473772,0.40938383,1
-0.4577891,0.41144824,1
-0.4608428,0.41292143,0
-0.46373406,0.4133566,0
-0.46649414,0.41343552,0
-0.46912304,0.41315818,3
-0.47157735,0.41220313,0
-0.47388917,0.4114446,0
-0.47606966,0.41032988,0
-0.47811893,0.40885878,3
-0.47992396,0.4067341,0
-0.48166656,0.40476304,0
-0.4832778,0.4024353,3
-0.4846428,0.39937997,0
-0.4859341,0.39660364,0
-0.48709387,0.39347053,0
-0.4881222,0.38998044,2
-0.48349416,0.3847137,0
-0.48457664,0.3812933,3
-0.4854654,0.3771304,2
-0.48172188,0.37209255,2
-0.47858125,0.36951888,2
-0.4747854,0.36647832,0
-0.4758918,0.36364824,2
-0.47212765,0.35960144,3
-0.4731092,0.3563493,2
-0.46906236,0.35405713,1
-0.47033465,0.35201365,3
-0.47116652,0.34856045,2
-0.4679575,0.34546858,2
-0.46460718,0.34103656,2
-0.4598681,0.33810806,0
-0.46109858,0.3358904,0
-0.46219754,0.3333156,2
-0.4578247,0.330409,3
-0.45880076,0.32763946,2
-0.45583826,0.3237682,2
-0.4535575,0.32154262,2
-0.44866872,0.31889576,1
-0.45011842,0.31751406,3
-0.45123327,0.31500936,2
-0.4495018,0.31177497,2
-0.4466122,0.30804747,0
-0.4478129,0.3058375,2
-0.44324145,0.3020118,3
-0.44439858,0.29960173,2
-0.44034058,0.29569572,0
-0.4415987,0.29375,2
-0.44046286,0.2925747,2
-0.4390459,0.29163802,2
-0.43585837,0.2906502,1
-0.43719712,0.28927612,3
-0.43815833,0.28663844,2
-0.43524766,0.28244686,2
-0.43173403,0.2809301,2
-0.4303121,0.27755153,1
-0.431688,0.27598083,3
-0.43271756,0.27318197,2
-0.43141806,0.2719223,2
-0.42691797,0.268951,2
-0.42372748,0.2654187,1
-0.42508566,0.26397038,3
-0.42611352,0.2611158,2
-0.42389464,0.259574,2
-0.42140946,0.2552157,2
-0.4165538,0.2524457,1
-0.4179668,0.25111943,3
-0.41903102,0.24844402,2
-0.41520295,0.2443648,2
-0.41277465,0.24190414,2
-0.41157088,0.24093443,2
-0.41026616,0.23885244,2
-0.40910795,0.23784494,2
-0.40704045,0.2362302,1
-0.40851736,0.23508817,3
-0.40960816,0.23251125,2
-0.40803015,0.22899067,2
-0.40550822,0.22710049,2
-0.40409553,0.22480771,2
-0.40203437,0.2213603,2
-0.39767316,0.21891212,1
-0.3991221,0.21770856,2
-0.39771792,0.21649116,2
-0.39274448,0.21308765,0
-0.39423576,0.21176082,0
-0.39559543,0.21007654,2
-0.39276984,0.20775986,2
-0.39187002,0.20646831,2
-0.388358,0.20406309,1
-0.38994426,0.20315826,3
-0.39123347,0.2008279,2
-0.3881638,0.1981596,2
-0.3839816,0.19398504,0
-0.3854534,0.19258165,2
-0.38328874,0.19126952,1
-0.3848008,0.19010213,3
-0.38605165,0.18760282,2
-0.3832496,0.18345344,2
-0.381995,0.18063599,2
-0.37948567,0.17865074,2
-0.37677383,0.17747703,1
-0.3781803,0.17639297,2
-0.375588,0.17204416,3
-0.37692297,0.16979867,2
-0.3727879,0.167914,1
-0.37418202,0.16686088,2
-0.3721397,0.16466644,2
-0.36963505,0.1628139,1
-0.3711279,0.16165927,2
-0.36886027,0.15729079,3
-0.3701735,0.1548756,2
-0.36657143,0.15176985,2
-0.36325422,0.14874426,1
-0.36475977,0.1476677,3
-0.3660581,0.14522985,2
-0.3614346,0.14081246,1
-0.36280996,0.13948509,2
-0.3619141,0.13713083,2
-0.35830858,0.13465586,2
-0.35740578,0.13239792,2
-0.3554232,0.12821484,1
-0.35687864,0.12680224,3
-0.35818535,0.12420446,2
-0.35349068,0.12046465,2
-0.35223427,0.11685458,2
-0.34787124,0.11251569,1
-0.34947145,0.111519694,3
-0.3509796,0.10920766,2
-0.34635872,0.10454184,1
-0.34792104,0.10327074,3
-0.34931254,0.10061115,2
-0.3481542,0.09590283,2
-0.34337106,0.09114495,0
-0.34483394,0.08916864,2
-0.3414154,0.08595553,0
-0.34287116,0.08402246,2
-0.3414278,0.080624014,2
-0.3372997,0.075886875,0
-0.33881554,0.0740481,2
-0.33531538,0.070807874,0
-0.33683205,0.06902364,2
-0.3352542,0.06524083,2
-0.3345659,0.062484056,2
-0.33047372,0.058931053,0
-0.33204257,0.05727741,0
-0.33347982,0.05526638,2
-0.32939103,0.05177352,0
-0.33085656,0.04989922,2
-0.3272917,0.046608686,0
-0.32875893,0.044790566,2
-0.32397175,0.039149076,0
-0.32551777,0.037426442,2
-0.32163966,0.03255099,3
-0.3232143,0.030467749,2
-0.3205293,0.02772525,1
-0.32206547,0.026598781,2
-0.3194264,0.024098814,0
-0.3209132,0.022233665,2
-0.31800768,0.01992786,2
-0.31529462,0.018047363,0
-0.31683254,0.016560763,2
-0.31513464,0.012482852,2
-0.3110475,0.008875251,0
-0.3126676,0.0075274706,2
-0.30923513,0.0031773746,0
-0.3108653,0.0017797947,2
-0.30792913,-0.00045210123,1
-0.3095546,-0.0015045702,3
-0.31100482,-0.0038069189,2
-0.30712327,-0.0065303743,2
-0.30475137,-0.010954082,0
-0.3063312,-0.012429431,2
-0.30412766,-0.016897589,0
-0.30565023,-0.018641025,2
-0.30277008,-0.02353029,0
-0.30426872,-0.025445,2
-0.30024737,-0.029777288,0
-0.30177724,-0.031616926,2
-0.29794157,-0.03599231,0
-0.2994954,-0.037792534,2
-0.29717705,-0.04236777,3
-0.2986495,-0.04479289,2
-0.2939409,-0.049933493,1
-0.29552516,-0.051204816,2
-0.2942639,-0.053804442,2
-0.2930924,-0.056744635,2
-0.2889954,-0.05934295,0
-0.2906096,-0.06090796,2
-0.28726017,-0.06419407,0
-0.28887343,-0.065733865,2
-0.28568608,-0.067889735,0
-0.2872842,-0.06935339,2
-0.28528738,-0.07191643,2
-0.28464574,-0.0736935,2
-0.28245014,-0.07597935,0
-0.2840224,-0.07736564,2
-0.2799058,-0.08153203,0
-0.2815205,-0.08284132,2
-0.2776451,-0.08571759,1
-0.2793214,-0.08650139,3
-0.2808706,-0.088606745,2
-0.27961865,-0.089950785,2
-0.27774197,-0.093509376,2
-0.27687442,-0.096190974,2
-0.27379307,-0.098845035,2
-0.2718686,-0.10073529,1
-0.2735307,-0.10157861,3
-0.27499744,-0.1036586,2
-0.2708479,-0.10863176,2
-0.2700283,-0.1097537,2
-0.26602328,-0.1139158,1
-0.26776573,-0.114660874,3
-0.26939192,-0.11653717,2
-0.26710674,-0.11959487,2
-0.26562577,-0.12295012,2
-0.26169193,-0.12730819,0
-0.26339626,-0.1284431,2
-0.25965568,-0.13180277,1
-0.2614313,-0.1325655,3
-0.2630714,-0.13443938,2
-0.25971907,-0.1392134,0
-0.26132193,-0.14072576,2
-0.26011923,-0.14317426,2
-0.2563163,-0.14707518,0
-0.25795484,-0.14845528,2
-0.25509185,-0.15234807,0
-0.25670704,-0.1538307,2
-0.2558926,-0.15644524,2
-0.2528104,-0.15930559,2
-0.2510499,-0.1626977,0
-0.25269195,-0.1640842,2
-0.25170103,-0.1653007,2
-0.25060618,-0.16889316,2
-0.24732447,-0.17256568,1
-0.24896875,-0.17356232,3
-0.25055647,-0.17576285,2
-0.24859975,-0.1790128,2
-0.24746262,-0.18112725,2
-0.24674691,-0.18538131,2
-0.24486078,-0.19006348,2
-0.24107496,-0.1930812,0
-0.24273156,-0.194552,2
-0.24027362,-0.19718549,2
-0.23896274,-0.20114914,0
-0.24060294,-0.20271519,2
-0.23987117,-0.2043476,2
-0.23529312,-0.20900753,0
-0.23698774,-0.21037179,2
-0.23493788,-0.21432824,0
-0.23657061,-0.21593657,2
-0.23314305,-0.22027609,3
-0.23477925,-0.2222378,2
-0.2301039,-0.22708154,1
-0.23179606,-0.22796953,3
-0.23337537,-0.23011658,2
-0.23247102,-0.23371701,2
-0.2278878,-0.23691638,2
-0.22472201,-0.23987119,0
-0.22644623,-0.2410122,2
-0.22255124,-0.24339452,0
-0.22430605,-0.24435924,2
-0.22193305,-0.2462512,1
-0.22370873,-0.2469194,3
-0.22533856,-0.24882483,2
-0.22090036,-0.2537,2
-0.21864381,-0.2576493,0
-0.22037676,-0.25887,2
-0.21823968,-0.26133373,0
-0.21991126,-0.2626834,2
-0.21900561,-0.26442498,2
-0.21461883,-0.26964986,0
-0.21635617,-0.27087876,2
-0.21522436,-0.274226,0
-0.21685229,-0.27582148,2
-0.21393643,-0.27961934,3
-0.21547644,-0.2816417,2
-0.21433318,-0.2842434,2
-0.21112536,-0.2889855,2
-0.20795064,-0.2927646,0
-0.2096395,-0.2939937,2
-0.2074506,-0.2978007,2
-0.20612502,-0.3002545,0
-0.20779103,-0.30162778,2
-0.2071633,-0.30259314,2
-0.2056025,-0.30506074,2
-0.20431967,-0.3069429,2
-0.201292,-0.31062102,0
-0.20298523,-0.3117848,2
-0.19926457,-0.31485242,0
-0.20098291,-0.31593135,2
-0.1971349,-0.3186774,0
-0.19888522,-0.31962866,2
-0.19815463,-0.32081893,2
-0.19442168,-0.32504842,0
-0.19620028,-0.32595125,2
-0.19376609,-0.32952186,0
-0.19551012,-0.33060217,2
-0.19126056,-0.33403218,0
-0.19306307,-0.33496103,2
-0.19085653,-0.33633125,0
-0.19260226,-0.33731395,2
-0.19022322,-0.34000093,0
-0.19192497,-0.34110832,2
-0.1898213,-0.3430049,2
-0.18712196,-0.34609234,0
-0.18886653,-0.3470597,2
-0.18715063,-0.3505403,2
-0.18420643,-0.3519467,0
-0.18599036,-0.35278583,2
-0.18417941,-0.3554561,0
-0.18589197,-0.3565205,2
-0.18165237,-0.35923296,0
-0.18341792,-0.36010447,2
-0.18148868,-0.36180985,2
-0.17845516,-0.36582595,0
-0.1802848,-0.36659452,2
-0.17783341,-0.37034595,0
-0.17963417,-0.37130454,2
-0.17858171,-0.37417117,0
-0.18027222,-0.3754884,2
-0.17961751,-0.37728006,2
-0.17891005,-0.37805933,2
-0.17798749,-0.3803392,2
-0.1733194,-0.38280272,0
-0.17505524,-0.38371986,2
-0.17376044,-0.38683897,2
-0.170379,-0.39082333,0
-0.17216557,-0.39178282,2
-0.16954705,-0.39471084,0
-0.17130661,-0.39576876,2
-0.17028564,-0.39734596,2
-0.16856173,-0.39907557,2
-0.16787691,-0.40053397,2
-0.16612357,-0.4030936,0
-0.16786787,-0.4040823,2
-0.16607526,-0.40590072,2
-0.16479915,-0.40809226,2
-0.16352944,-0.41068798,0
-0.16525994,-0.41173017,2
-0.16322675,-0.41449428,2
1.1592233,0.07328808,1
1.1618567,0.07392198,1
1.1649246,0.07375473,1
1.1678478,0.073731005,1
1.1701257,0.07388741,0
1.1710167,0.07233572,0
1.1718799,0.0713675,0
1.1721332,0.07072765,0
1.1718206,0.070459515,0
1.1711124,0.07050824,0
1.1702352,0.0707553,0
1.1694031,0.07106143,0
1.1687689,0.071305245,0
1.1684004,0.07140896,0
1.168285,0.071347356,0
1.1674277,0.072057486,0
1.1674069,0.07224929,0
1.1674116,0.07233554,0
1.1674113,0.07233429,0
1.1674112,0.072304755,0
1.1674113,0.07228601,0
1.1674114,0.07228342,0
1.1674116,0.07228783,0
1.1674116,0.07229149,0
1.1674114,0.07229248,0
1.1674114,0.07229191,0
1.1674114,0.072291225,0
1.1674114,0.07229096,0
1.1674114,0.07229102,0
1.1674114,0.072291136,0
1.1674114,0.072291195,0
1.1674114,0.072291195,0
1.1674114,0.072291195,0
1.1674114,0.072291195,0
1.1674114,0.072291195,0
1.1674114,0.072291195,0
1.1674114,0.072291195,0
1.1674114,0.072291195,0
1.1674114,0.072291195,0
1.1674114,0.072291195,0
-0.4684362,0.40811563,1
-0.47017252,0.40854514,1
-0.47199562,0.40854168,1
-0.47371322,0.40778422,1
-0.47531784,0.40648144,1
-0.47688648,0.40476722,1
-0.47835517,0.40237242,0
-0.4796831,0.3990121,0
-0.48087972,0.3952949,3
-0.48187804,0.39087754,2
-0.47802305,0.3849209,2
-0.47422716,0.3801319,0
-0.4753707,0.37665027,2
-0.47398713,0.37214965,3
-0.47491533,0.36802214,2
-0.47299573,0.36411333,2
-0.4681924,0.3597058,2
-0.4632795,0.35451716,0
-0.46451798,0.35167283,3
-0.46553624,0.3481853,2
-0.46280158,0.34541422,2
-0.46086276,0.3412677,2
-0.45761585,0.33728588,2
-0.45600134,0.33430308,0
-0.45716208,0.33164322,2
-0.4531519,0.3268246,0
-0.4543354,0.3241487,2
-0.45094028,0.31998163,3
-0.4520436,0.31691408,2
-0.45085162,0.313016,2
-0.44808096,0.30850875,2
-0.44540793,0.30631495,2
-0.44133228,0.30370992,1
-0.44277823,0.3020997,3
-0.44393378,0.2991202,2
-0.44173747,0.29492086,2
-0.43930027,0.2924785,2
-0.43521535,0.28921962,0
-0.43652818,0.28717256,2
-0.43298107,0.2827114,3
-0.43413594,0.28020722,2
-0.43153328,0.27796322,1
-0.43286726,0.27635628,2
-0.4297624,0.2745452,3
-0.4308799,0.27205372,2
-0.42628825,0.26781178,1
-0.42766798,0.26620418,3
-0.42876077,0.26335037,2
-0.42672145,0.2595361,2
-0.42382586,0.2550397,2
-0.41978186,0.2532189,1
-0.42111498,0.25158507,3
-0.42220685,0.24880964,2
-0.4172877,0.24510527,2
-0.413657,0.24248204,1
-0.41504222,0.24109313,3
-0.41620365,0.23858953,2
-0.4127775,0.23562634,2
-0.4090752,0.23265976,1
-0.410551,0.23137492,3
-0.41167307,0.22878575,2
-0.4087405,0.22533223,2
-0.4050842,0.22287992,1
-0.40648574,0.22156256,3
-0.4076556,0.21887186,2
-0.40489554,0.2168251,2
-0.40144482,0.21417451,2
-0.39994133,0.2122204,2
-0.39790332,0.2102401,1
-0.39927,0.20892984,2
-0.39470097,0.20531946,3
-0.39606863,0.20338345,2
-0.39206478,0.19908503,1
-0.39352214,0.19791448,3
-0.3947937,0.19552141,2
-0.38976246,0.19086647,1
-0.39124113,0.1896446,2
-0.38840935,0.1863595,3
-0.38966197,0.18402705,2
-0.3848124,0.17998317,1
-0.38631508,0.17870185,2
-0.3832072,0.17452997,0
-0.38463467,0.17262876,2
-0.38147756,0.16887605,3
