angle,angular_vel,action
-6.283,-10.0,[1]
-6.1560707070707075,-10.0,[1]
-6.029141414141415,-10.0,[1]
-5.902212121212122,-10.0,[1]
-5.775282828282829,-10.0,[1]
-5.648353535353536,-10.0,[1]
-5.521424242424243,-10.0,[1]
-5.39449494949495,-10.0,[1]
-5.267565656565656,-10.0,[1]
-5.140636363636364,-10.0,[1]
-5.013707070707071,-10.0,[1]
-4.886777777777778,-10.0,[1]
-4.759848484848485,-10.0,[1]
-4.632919191919192,-10.0,[1]
-4.505989898989899,-10.0,[1]
-4.379060606060606,-10.0,[1]
-4.252131313131313,-10.0,[1]
-4.12520202020202,-10.0,[1]
-3.9982727272727274,-10.0,[1]
-3.8713434343434345,-10.0,[1]
-3.7444141414141416,-10.0,[1]
-3.6174848484848483,-10.0,[1]
-3.4905555555555554,-10.0,[1]
-3.3636262626262625,-10.0,[1]
-3.2366969696969696,-10.0,[1]
-3.1097676767676767,-10.0,[1]
-2.982838383838384,-10.0,[1]
-2.855909090909091,-10.0,[1]
-2.7289797979797976,-10.0,[1]
-2.6020505050505047,-10.0,[1]
-2.475121212121212,-10.0,[1]
-2.348191919191919,-10.0,[1]
-2.221262626262626,-10.0,[1]
-2.094333333333333,-10.0,[1]
-1.9674040404040403,-10.0,[1]
-1.8404747474747474,-10.0,[1]
-1.7135454545454545,-10.0,[1]
-1.5866161616161616,-10.0,[1]
-1.4596868686868687,-10.0,[1]
-1.3327575757575758,-10.0,[1]
-1.205828282828283,-10.0,[1]
-1.0788989898989891,-10.0,[1]
-0.9519696969696962,-10.0,[1]
-0.8250404040404034,-10.0,[1]
-0.6981111111111105,-10.0,[1]
-0.5711818181818176,-10.0,[1]
-0.4442525252525247,-10.0,[1]
-0.3173232323232318,-10.0,[1]
-0.1903939393939389,-10.0,[1]
-0.063464646464646,-10.0,[1]
0.06346464646464689,-10.0,[1]
0.19039393939393978,-10.0,[1]
0.3173232323232327,-10.0,[1]
0.44425252525252557,-10.0,[1]
0.5711818181818185,-10.0,[1]
0.6981111111111113,-10.0,[2]
0.8250404040404051,-10.0,[2]
0.951969696969698,-10.0,[2]
1.078898989898991,-10.0,[2]
1.2058282828282838,-10.0,[2]
1.3327575757575767,-10.0,[2]
1.4596868686868696,-10.0,[2]
1.5866161616161625,-10.0,[2]
1.7135454545454554,-10.0,[2]
1.8404747474747483,-10.0,[2]
