vel_x_space,angular_vel,action
-10.0,-10.0,[0]
-9.797979797979798,-10.0,[0]
-9.595959595959595,-10.0,[0]
-9.393939393939394,-10.0,[0]
-9.191919191919192,-10.0,[0]
-8.98989898989899,-10.0,[0]
-8.787878787878787,-10.0,[0]
-8.585858585858587,-10.0,[0]
-8.383838383838384,-10.0,[0]
-8.181818181818182,-10.0,[0]
-7.979797979797979,-10.0,[0]
-7.777777777777778,-10.0,[0]
-7.575757575757576,-10.0,[0]
-7.373737373737374,-10.0,[0]
-7.171717171717171,-10.0,[2]
-6.96969696969697,-10.0,[2]
-6.767676767676768,-10.0,[2]
-6.565656565656566,-10.0,[2]
-6.363636363636363,-10.0,[2]
-6.161616161616162,-10.0,[2]
-5.959595959595959,-10.0,[2]
-5.757575757575758,-10.0,[2]
-5.555555555555555,-10.0,[2]
-5.353535353535354,-10.0,[2]
-5.151515151515151,-10.0,[2]
-4.94949494949495,-10.0,[2]
-4.747474747474747,-10.0,[2]
-4.545454545454546,-10.0,[2]
-4.343434343434343,-10.0,[2]
-4.141414141414142,-10.0,[1]
-3.9393939393939394,-10.0,[1]
-3.737373737373738,-10.0,[1]
-3.5353535353535355,-10.0,[1]
-3.333333333333333,-10.0,[1]
-3.1313131313131315,-10.0,[1]
-2.929292929292929,-10.0,[1]
-2.7272727272727275,-10.0,[1]
-2.525252525252525,-10.0,[1]
-2.3232323232323235,-10.0,[1]
-2.121212121212121,-10.0,[1]
-1.9191919191919187,-10.0,[1]
-1.717171717171718,-10.0,[1]
-1.5151515151515156,-10.0,[1]
-1.3131313131313131,-10.0,[1]
-1.1111111111111107,-10.0,[1]
-0.9090909090909101,-10.0,[1]
-0.7070707070707076,-10.0,[1]
-0.5050505050505052,-10.0,[1]
-0.30303030303030276,-10.0,[1]
-0.10101010101010033,-10.0,[1]
0.10101010101010033,-10.0,[1]
0.30303030303030276,-10.0,[1]
0.5050505050505052,-10.0,[1]
0.7070707070707076,-10.0,[1]
0.9090909090909083,-10.0,[1]
1.1111111111111107,-10.0,[1]
1.3131313131313131,-10.0,[1]
1.5151515151515156,-10.0,[1]
1.7171717171717162,-10.0,[1]
1.9191919191919187,-10.0,[1]
2.121212121212121,-10.0,[1]
2.3232323232323235,-10.0,[1]
2.525252525252524,-10.0,[1]
2.7272727272727266,-10.0,[1]
2.929292929292929,-10.0,[1]
3.1313131313131315,-10.0,[1]
3.333333333333334,-10.0,[1]
3.5353535353535346,-10.0,[1]
3.737373737373737,-10.0,[1]
3.9393939393939394,-10.0,[1]
4.141414141414142,-10.0,[1]
4.3434343434343425,-10.0,[1]
4.545454545454545,-10.0,[1]
4.747474747474747,-10.0,[1]
4.94949494949495,-10.0,[1]
5.1515151515151505,-10.0,[1]
5.353535353535353,-10.0,[1]
5.555555555555555,-10.0,[1]
5.757575757575758,-10.0,[1]
5.9595959595959584,-10.0,[1]
6.161616161616163,-10.0,[1]
6.363636363636363,-10.0,[1]
6.565656565656564,-10.0,[1]
6.767676767676768,-10.0,[1]
