vel_y_space,angle,action
-10.0,-6.283,[2]
-9.797979797979798,-6.283,[2]
-9.595959595959595,-6.283,[2]
-9.393939393939394,-6.283,[2]
-9.191919191919192,-6.283,[2]
-8.98989898989899,-6.283,[2]
-8.787878787878787,-6.283,[2]
-8.585858585858587,-6.283,[2]
-8.383838383838384,-6.283,[2]
-8.181818181818182,-6.283,[2]
-7.979797979797979,-6.283,[2]
-7.777777777777778,-6.283,[2]
-7.575757575757576,-6.283,[2]
-7.373737373737374,-6.283,[2]
-7.171717171717171,-6.283,[2]
-6.96969696969697,-6.283,[2]
-6.767676767676768,-6.283,[2]
-6.565656565656566,-6.283,[2]
-6.363636363636363,-6.283,[2]
-6.161616161616162,-6.283,[2]
-5.959595959595959,-6.283,[2]
-5.757575757575758,-6.283,[2]
-5.555555555555555,-6.283,[2]
-5.353535353535354,-6.283,[2]
-5.151515151515151,-6.283,[2]
-4.94949494949495,-6.283,[2]
-4.747474747474747,-6.283,[2]
-4.545454545454546,-6.283,[2]
-4.343434343434343,-6.283,[2]
-4.141414141414142,-6.283,[2]
-3.9393939393939394,-6.283,[2]
-3.737373737373738,-6.283,[2]
-3.5353535353535355,-6.283,[2]
-3.333333333333333,-6.283,[2]
-3.1313131313131315,-6.283,[2]
-2.929292929292929,-6.283,[2]
-2.7272727272727275,-6.283,[2]
-2.525252525252525,-6.283,[2]
-2.3232323232323235,-6.283,[2]
-2.121212121212121,-6.283,[2]
-1.9191919191919187,-6.283,[2]
-1.717171717171718,-6.283,[2]
-1.5151515151515156,-6.283,[1]
-1.3131313131313131,-6.283,[1]
-1.1111111111111107,-6.283,[1]
-0.9090909090909101,-6.283,[1]
-0.7070707070707076,-6.283,[1]
-0.5050505050505052,-6.283,[1]
-0.30303030303030276,-6.283,[1]
-0.10101010101010033,-6.283,[1]
0.10101010101010033,-6.283,[1]
0.30303030303030276,-6.283,[1]
0.5050505050505052,-6.283,[1]
0.7070707070707076,-6.283,[1]
0.9090909090909083,-6.283,[1]
1.1111111111111107,-6.283,[1]
1.3131313131313131,-6.283,[1]
1.5151515151515156,-6.283,[1]
1.7171717171717162,-6.283,[1]
1.9191919191919187,-6.283,[1]
2.121212121212121,-6.283,[1]
2.3232323232323235,-6.283,[1]
2.525252525252524,-6.283,[1]
2.7272727272727266,-6.283,[0]
2.929292929292929,-6.283,[0]
3.1313131313131315,-6.283,[0]
3.333333333333334,-6.283,[0]
3.5353535353535346,-6.283,[0]
3.737373737373737,-6.283,[0]
3.9393939393939394,-6.283,[0]
4.141414141414142,-6.283,[0]
4.3434343434343425,-6.283,[0]
4.545454545454545,-6.283,[0]
4.747474747474747,-6.283,[0]
4.94949494949495,-6.283,[0]
5.1515151515151505,-6.283,[0]
5.353535353535353,-6.283,[0]
5.555555555555555,-6.283,[0]
5.757575757575758,-6.283,[0]
5.9595959595959584,-6.283,[0]
6.161616161616163,-6.283,[0]
6.363636363636363,-6.283,[0]
6.565656565656564,-6.283,[0]
6.767676767676768,-6.283,[0]
6.969696969696969,-6.283,[0]
7.171717171717173,-6.283,[0]
7.373737373737374,-6.283,[0]
7.575757575757574,-6.283,[0]
7.777777777777779,-6.283,[0]
7.979797979797979,-6.283,[0]
8.18181818181818,-6.283,[0]
8.383838383838384,-6.283,[0]
8.585858585858585,-6.283,[0]
8.787878787878789,-6.283,[0]
8.98989898989899,-6.283,[0]
9.19191919191919,-6.283,[0]
9.393939393939394,-6.283,[0]
9.595959595959595,-6.283,[0]
9.7979797979798,-6.283,[0]
10.0,-6.283,[0]
-10.0,-6.1560707070707075,[2]
-9.797979797979798,-6.1560707070707075,[2]
-9.595959595959595,-6.1560707070707075,[2]
-9.393939393939394,-6.1560707070707075,[2]
-9.191919191919192,-6.1560707070707075,[2]
-8.98989898989899,-6.1560707070707075,[2]
-8.787878787878787,-6.1560707070707075,[2]
-8.585858585858587,-6.1560707070707075,[2]
-8.383838383838384,-6.1560707070707075,[2]
-8.181818181818182,-6.1560707070707075,[2]
-7.979797979797979,-6.1560707070707075,[2]
-7.777777777777778,-6.1560707070707075,[2]
-7.575757575757576,-6.1560707070707075,[2]
-7.373737373737374,-6.1560707070707075,[2]
-7.171717171717171,-6.1560707070707075,[2]
-6.96969696969697,-6.1560707070707075,[2]
-6.767676767676768,-6.1560707070707075,[2]
-6.565656565656566,-6.1560707070707075,[2]
-6.363636363636363,-6.1560707070707075,[2]
-6.161616161616162,-6.1560707070707075,[2]
-5.959595959595959,-6.1560707070707075,[2]
-5.757575757575758,-6.1560707070707075,[2]
-5.555555555555555,-6.1560707070707075,[2]
-5.353535353535354,-6.1560707070707075,[2]
-5.151515151515151,-6.1560707070707075,[2]
-4.94949494949495,-6.1560707070707075,[2]
-4.747474747474747,-6.1560707070707075,[2]
-4.545454545454546,-6.1560707070707075,[2]
-4.343434343434343,-6.1560707070707075,[2]
-4.141414141414142,-6.1560707070707075,[2]
-3.9393939393939394,-6.1560707070707075,[2]
-3.737373737373738,-6.1560707070707075,[2]
-3.5353535353535355,-6.1560707070707075,[2]
-3.333333333333333,-6.1560707070707075,[2]
-3.1313131313131315,-6.1560707070707075,[2]
-2.929292929292929,-6.1560707070707075,[2]
-2.7272727272727275,-6.1560707070707075,[2]
-2.525252525252525,-6.1560707070707075,[2]
-2.3232323232323235,-6.1560707070707075,[2]
-2.121212121212121,-6.1560707070707075,[2]
-1.9191919191919187,-6.1560707070707075,[2]
-1.717171717171718,-6.1560707070707075,[2]
-1.5151515151515156,-6.1560707070707075,[2]
-1.3131313131313131,-6.1560707070707075,[1]
-1.1111111111111107,-6.1560707070707075,[1]
-0.9090909090909101,-6.1560707070707075,[1]
-0.7070707070707076,-6.1560707070707075,[1]
-0.5050505050505052,-6.1560707070707075,[1]
-0.30303030303030276,-6.1560707070707075,[1]
-0.10101010101010033,-6.1560707070707075,[1]
0.10101010101010033,-6.1560707070707075,[1]
0.30303030303030276,-6.1560707070707075,[1]
0.5050505050505052,-6.1560707070707075,[1]
0.7070707070707076,-6.1560707070707075,[1]
0.9090909090909083,-6.1560707070707075,[1]
1.1111111111111107,-6.1560707070707075,[1]
1.3131313131313131,-6.1560707070707075,[1]
1.5151515151515156,-6.1560707070707075,[1]
1.7171717171717162,-6.1560707070707075,[1]
1.9191919191919187,-6.1560707070707075,[1]
2.121212121212121,-6.1560707070707075,[1]
2.3232323232323235,-6.1560707070707075,[1]
2.525252525252524,-6.1560707070707075,[1]
2.7272727272727266,-6.1560707070707075,[0]
2.929292929292929,-6.1560707070707075,[0]
3.1313131313131315,-6.1560707070707075,[0]
3.333333333333334,-6.1560707070707075,[0]
3.5353535353535346,-6.1560707070707075,[0]
3.737373737373737,-6.1560707070707075,[0]
3.9393939393939394,-6.1560707070707075,[0]
4.141414141414142,-6.1560707070707075,[0]
4.3434343434343425,-6.1560707070707075,[0]
4.545454545454545,-6.1560707070707075,[0]
4.747474747474747,-6.1560707070707075,[0]
4.94949494949495,-6.1560707070707075,[0]
5.1515151515151505,-6.1560707070707075,[0]
