x_space,angular_vel,action
-2.5,-10.0,[1]
-2.4494949494949494,-10.0,[1]
-2.398989898989899,-10.0,[1]
-2.3484848484848486,-10.0,[1]
-2.297979797979798,-10.0,[1]
-2.2474747474747474,-10.0,[1]
-2.196969696969697,-10.0,[1]
-2.1464646464646466,-10.0,[1]
-2.095959595959596,-10.0,[1]
-2.0454545454545454,-10.0,[1]
-1.9949494949494948,-10.0,[1]
-1.9444444444444444,-10.0,[1]
-1.893939393939394,-10.0,[1]
-1.8434343434343434,-10.0,[1]
-1.7929292929292928,-10.0,[1]
-1.7424242424242424,-10.0,[1]
-1.691919191919192,-10.0,[1]
-1.6414141414141414,-10.0,[1]
-1.5909090909090908,-10.0,[1]
-1.5404040404040404,-10.0,[1]
-1.4898989898989898,-10.0,[1]
-1.4393939393939394,-10.0,[1]
-1.3888888888888888,-10.0,[1]
-1.3383838383838385,-10.0,[1]
-1.2878787878787878,-10.0,[1]
-1.2373737373737375,-10.0,[1]
-1.1868686868686869,-10.0,[1]
-1.1363636363636365,-10.0,[1]
-1.0858585858585859,-10.0,[1]
-1.0353535353535355,-10.0,[1]
-0.9848484848484849,-10.0,[1]
-0.9343434343434345,-10.0,[1]
-0.8838383838383839,-10.0,[1]
-0.8333333333333333,-10.0,[1]
-0.7828282828282829,-10.0,[1]
-0.7323232323232323,-10.0,[1]
-0.6818181818181819,-10.0,[1]
-0.6313131313131313,-10.0,[1]
-0.5808080808080809,-10.0,[1]
-0.5303030303030303,-10.0,[1]
-0.47979797979797967,-10.0,[1]
-0.4292929292929295,-10.0,[1]
-0.3787878787878789,-10.0,[1]
-0.3282828282828283,-10.0,[1]
-0.2777777777777777,-10.0,[1]
-0.22727272727272751,-10.0,[1]
-0.1767676767676769,-10.0,[1]
-0.1262626262626263,-10.0,[1]
-0.07575757575757569,-10.0,[1]
-0.025252525252525082,-10.0,[1]
0.025252525252525082,-10.0,[1]
0.07575757575757569,-10.0,[1]
0.1262626262626263,-10.0,[1]
0.1767676767676769,-10.0,[1]
0.22727272727272707,-10.0,[1]
0.2777777777777777,-10.0,[1]
0.3282828282828283,-10.0,[1]
0.3787878787878789,-10.0,[1]
0.42929292929292906,-10.0,[1]
0.47979797979797967,-10.0,[1]
0.5303030303030303,-10.0,[1]
0.5808080808080809,-10.0,[1]
0.631313131313131,-10.0,[1]
0.6818181818181817,-10.0,[1]
0.7323232323232323,-10.0,[1]
0.7828282828282829,-10.0,[1]
0.8333333333333335,-10.0,[1]
0.8838383838383836,-10.0,[1]
0.9343434343434343,-10.0,[1]
0.9848484848484849,-10.0,[1]
1.0353535353535355,-10.0,[1]
1.0858585858585856,-10.0,[1]
1.1363636363636362,-10.0,[1]
1.1868686868686869,-10.0,[1]
1.2373737373737375,-10.0,[1]
1.2878787878787876,-10.0,[1]
1.3383838383838382,-10.0,[1]
1.3888888888888888,-10.0,[2]
1.4393939393939394,-10.0,[2]
1.4898989898989896,-10.0,[2]
1.5404040404040407,-10.0,[2]
1.5909090909090908,-10.0,[2]
1.641414141414141,-10.0,[2]
1.691919191919192,-10.0,[2]
1.7424242424242422,-10.0,[2]
1.7929292929292933,-10.0,[2]
1.8434343434343434,-10.0,[2]
1.8939393939393936,-10.0,[2]
1.9444444444444446,-10.0,[2]
1.9949494949494948,-10.0,[2]
2.045454545454545,-10.0,[2]
2.095959595959596,-10.0,[2]
2.146464646464646,-10.0,[2]
2.1969696969696972,-10.0,[2]
2.2474747474747474,-10.0,[2]
2.2979797979797976,-10.0,[2]
2.3484848484848486,-10.0,[2]
2.398989898989899,-10.0,[2]
2.44949494949495,-10.0,[2]
2.5,-10.0,[2]
-2.5,-9.797979797979798,[1]
-2.4494949494949494,-9.797979797979798,[1]
-2.398989898989899,-9.797979797979798,[1]
-2.3484848484848486,-9.797979797979798,[1]
-2.297979797979798,-9.797979797979798,[1]
-2.2474747474747474,-9.797979797979798,[1]
-2.196969696969697,-9.797979797979798,[1]
-2.1464646464646466,-9.797979797979798,[1]
-2.095959595959596,-9.797979797979798,[1]
-2.0454545454545454,-9.797979797979798,[1]
-1.9949494949494948,-9.797979797979798,[1]
-1.9444444444444444,-9.797979797979798,[1]
-1.893939393939394,-9.797979797979798,[1]
-1.8434343434343434,-9.797979797979798,[1]
-1.7929292929292928,-9.797979797979798,[1]
-1.7424242424242424,-9.797979797979798,[1]
-1.691919191919192,-9.797979797979798,[1]
-1.6414141414141414,-9.797979797979798,[1]
-1.5909090909090908,-9.797979797979798,[1]
-1.5404040404040404,-9.797979797979798,[1]
-1.4898989898989898,-9.797979797979798,[1]
-1.4393939393939394,-9.797979797979798,[1]
-1.3888888888888888,-9.797979797979798,[1]
-1.3383838383838385,-9.797979797979798,[1]
-1.2878787878787878,-9.797979797979798,[1]
-1.2373737373737375,-9.797979797979798,[1]
-1.1868686868686869,-9.797979797979798,[1]
-1.1363636363636365,-9.797979797979798,[1]
-1.0858585858585859,-9.797979797979798,[1]
-1.0353535353535355,-9.797979797979798,[1]
-0.9848484848484849,-9.797979797979798,[1]
-0.9343434343434345,-9.797979797979798,[1]
-0.8838383838383839,-9.797979797979798,[1]
-0.8333333333333333,-9.797979797979798,[1]
-0.7828282828282829,-9.797979797979798,[1]
-0.7323232323232323,-9.797979797979798,[1]
-0.6818181818181819,-9.797979797979798,[1]
