depths,mean_rewards,std_rewards,seeds_mean_rewards,seeds_std_rewards
1,-318.09585885250146,78.62734238091005,-318.09585885250146,7.543775385901781
2,-318.09585885250146,78.62734238091005,-318.09585885250146,7.543775385901781
3,-336.6772128573977,97.53080652112374,-336.6772128573977,8.67668484172601
4,-285.87874443617216,101.22232295592814,-285.87874443617216,9.665319978754605
5,-189.3531558368841,152.581379961419,-189.35315583688407,16.167711477049973
6,-266.03741458422223,204.1662898915698,-266.0374145842223,21.59929399571598
7,-306.1078105858853,123.97113601993603,-306.1078105858853,12.215489182330325
8,-240.04455503540487,134.43422607539284,-240.04455503540484,13.706487768257771
9,-218.68894726999565,171.7516552768864,-218.68894726999565,15.480049363316217
10,39.8724930605181,166.94726851363237,39.8724930605181,17.58270899308762
11,62.48533070992908,176.23952919069143,62.48533070992907,17.08333278230411
12,-1.1908387624061183,197.36824805611064,-1.1908387624061183,19.298620050507708
13,73.39157807170058,186.8451573193345,73.39157807170056,18.227976337248293
14,85.8319481766971,185.35959147252242,85.83194817669711,16.164073319014893
15,65.59032967505186,199.22745278281874,65.59032967505188,19.06318407786466
